account_uid,Month,transaction_amount
0ee4dc12-2ff3-48ab-8291-872869f3ca41,April,61.142857142857146
0ee4dc12-2ff3-48ab-8291-872869f3ca41,August,45.91111111111111
0ee4dc12-2ff3-48ab-8291-872869f3ca41,December,18.559677419354838
0ee4dc12-2ff3-48ab-8291-872869f3ca41,February,-84.32521126760564
0ee4dc12-2ff3-48ab-8291-872869f3ca41,January,34.218117647058826
0ee4dc12-2ff3-48ab-8291-872869f3ca41,July,-77.30733333333332
0ee4dc12-2ff3-48ab-8291-872869f3ca41,June,49.885
0ee4dc12-2ff3-48ab-8291-872869f3ca41,March,38.49644736842105
0ee4dc12-2ff3-48ab-8291-872869f3ca41,May,126.97368421052632
0ee4dc12-2ff3-48ab-8291-872869f3ca41,November,13.710675675675676
0ee4dc12-2ff3-48ab-8291-872869f3ca41,October,39.23170731707317
0ee4dc12-2ff3-48ab-8291-872869f3ca41,September,136.07675
12f91c28-23e4-496d-a773-e71cf8a8d8d3,April,-50.66154929577465
12f91c28-23e4-496d-a773-e71cf8a8d8d3,August,-1.6571428571428573
12f91c28-23e4-496d-a773-e71cf8a8d8d3,December,-29.359550561797754
12f91c28-23e4-496d-a773-e71cf8a8d8d3,February,-78.25454545454545
12f91c28-23e4-496d-a773-e71cf8a8d8d3,January,32.89893939393939
12f91c28-23e4-496d-a773-e71cf8a8d8d3,July,-12.516129032258064
12f91c28-23e4-496d-a773-e71cf8a8d8d3,June,47.85308823529412
12f91c28-23e4-496d-a773-e71cf8a8d8d3,March,62.8051948051948
12f91c28-23e4-496d-a773-e71cf8a8d8d3,May,100.39867647058823
12f91c28-23e4-496d-a773-e71cf8a8d8d3,November,-42.46125
12f91c28-23e4-496d-a773-e71cf8a8d8d3,October,-32.08974358974359
12f91c28-23e4-496d-a773-e71cf8a8d8d3,September,-51.59154929577465
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,April,106.62865671641791
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,August,1.8493150684931507
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,December,-14.65
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,February,-78.52786666666667
