account_uid,Month,transaction_amount
0ee4dc12-2ff3-48ab-8291-872869f3ca41,April,987.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,August,972.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,December,992.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,February,929.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,January,968.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,July,996.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,June,935.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,March,994.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,May,999.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,November,998.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,October,958.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,September,981.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,April,891.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,August,924.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,December,991.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,February,999.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,January,997.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,July,964.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,June,983.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,March,985.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,May,949.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,November,997.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,October,963.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,September,977.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,April,978.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,August,955.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,December,994.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,February,959.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,January,914.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,July,990.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,June,994.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,March,985.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,May,997.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,November,949.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,October,990.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,September,985.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,April,999.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,August,982.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,December,989.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,February,994.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,January,938.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,July,936.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,June,975.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,March,947.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,May,946.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,November,987.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,October,987.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,September,928.0
38a64f25-3221-4661-944e-86bf6584438d,April,984.0
38a64f25-3221-4661-944e-86bf6584438d,August,980.0
38a64f25-3221-4661-944e-86bf6584438d,December,989.0
38a64f25-3221-4661-944e-86bf6584438d,February,964.0
38a64f25-3221-4661-944e-86bf6584438d,January,991.0
38a64f25-3221-4661-944e-86bf6584438d,July,955.0
38a64f25-3221-4661-944e-86bf6584438d,June,979.0
38a64f25-3221-4661-944e-86bf6584438d,March,938.0
38a64f25-3221-4661-944e-86bf6584438d,May,878.0
38a64f25-3221-4661-944e-86bf6584438d,November,997.0
38a64f25-3221-4661-944e-86bf6584438d,October,996.0
38a64f25-3221-4661-944e-86bf6584438d,September,983.0
a2c0a886-d116-495a-9a17-f1dd1a423190,April,994.0
a2c0a886-d116-495a-9a17-f1dd1a423190,August,996.0
a2c0a886-d116-495a-9a17-f1dd1a423190,December,983.0
a2c0a886-d116-495a-9a17-f1dd1a423190,February,953.0
a2c0a886-d116-495a-9a17-f1dd1a423190,January,989.0
a2c0a886-d116-495a-9a17-f1dd1a423190,July,972.0
a2c0a886-d116-495a-9a17-f1dd1a423190,June,974.0
a2c0a886-d116-495a-9a17-f1dd1a423190,March,972.0
a2c0a886-d116-495a-9a17-f1dd1a423190,May,984.0
a2c0a886-d116-495a-9a17-f1dd1a423190,November,981.0
a2c0a886-d116-495a-9a17-f1dd1a423190,October,986.0
a2c0a886-d116-495a-9a17-f1dd1a423190,September,916.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,April,982.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,August,956.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,December,959.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,February,977.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,January,981.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,July,984.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,June,973.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,March,985.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,May,988.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,November,974.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,October,1000.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,September,996.0
b8327f38-160d-4004-8f74-be8da19aaa15,April,981.0
b8327f38-160d-4004-8f74-be8da19aaa15,August,996.0
b8327f38-160d-4004-8f74-be8da19aaa15,December,946.0
b8327f38-160d-4004-8f74-be8da19aaa15,February,966.0
b8327f38-160d-4004-8f74-be8da19aaa15,January,970.0
b8327f38-160d-4004-8f74-be8da19aaa15,July,988.0
b8327f38-160d-4004-8f74-be8da19aaa15,June,935.0
b8327f38-160d-4004-8f74-be8da19aaa15,March,935.0
b8327f38-160d-4004-8f74-be8da19aaa15,May,992.0
b8327f38-160d-4004-8f74-be8da19aaa15,November,988.0
b8327f38-160d-4004-8f74-be8da19aaa15,October,997.0
b8327f38-160d-4004-8f74-be8da19aaa15,September,999.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,April,969.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,August,993.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,December,971.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,February,987.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,January,985.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,July,986.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,June,982.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,March,985.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,May,984.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,November,962.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,October,975.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,September,985.0
d481f7dd-8923-44d5-bc2e-e518435389d2,April,955.0
d481f7dd-8923-44d5-bc2e-e518435389d2,August,996.0
d481f7dd-8923-44d5-bc2e-e518435389d2,December,989.0
d481f7dd-8923-44d5-bc2e-e518435389d2,February,862.0
d481f7dd-8923-44d5-bc2e-e518435389d2,January,961.0
d481f7dd-8923-44d5-bc2e-e518435389d2,July,923.0
d481f7dd-8923-44d5-bc2e-e518435389d2,June,961.0
d481f7dd-8923-44d5-bc2e-e518435389d2,March,973.0
d481f7dd-8923-44d5-bc2e-e518435389d2,May,979.0
d481f7dd-8923-44d5-bc2e-e518435389d2,November,977.0
d481f7dd-8923-44d5-bc2e-e518435389d2,October,975.0
d481f7dd-8923-44d5-bc2e-e518435389d2,September,963.0
fcdbe47f-44a7-40fc-9389-0b973a529245,April,985.0
fcdbe47f-44a7-40fc-9389-0b973a529245,August,976.0
fcdbe47f-44a7-40fc-9389-0b973a529245,December,994.0
fcdbe47f-44a7-40fc-9389-0b973a529245,February,959.0
fcdbe47f-44a7-40fc-9389-0b973a529245,January,973.0
fcdbe47f-44a7-40fc-9389-0b973a529245,July,959.0
fcdbe47f-44a7-40fc-9389-0b973a529245,June,969.0
fcdbe47f-44a7-40fc-9389-0b973a529245,March,974.0
fcdbe47f-44a7-40fc-9389-0b973a529245,May,1000.0
fcdbe47f-44a7-40fc-9389-0b973a529245,November,968.0
fcdbe47f-44a7-40fc-9389-0b973a529245,October,992.0
fcdbe47f-44a7-40fc-9389-0b973a529245,September,1000.0
