account_uid,WeekDay,transaction_amount
0ee4dc12-2ff3-48ab-8291-872869f3ca41,Friday,-985.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,Monday,-994.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,Saturday,-1000.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,Sunday,-976.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,Thursday,-980.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,Tuesday,-979.0
0ee4dc12-2ff3-48ab-8291-872869f3ca41,Wednesday,-994.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,Friday,-997.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,Monday,-981.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,Saturday,-991.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,Sunday,-971.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,Thursday,-992.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,Tuesday,-961.0
12f91c28-23e4-496d-a773-e71cf8a8d8d3,Wednesday,-983.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,Friday,-994.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,Monday,-983.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,Saturday,-981.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,Sunday,-996.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,Thursday,-998.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,Tuesday,-977.0
186ef4a6-bdb6-4662-aeeb-ecb815d251dc,Wednesday,-998.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,Friday,-987.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,Monday,-995.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,Saturday,-996.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,Sunday,-986.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,Thursday,-998.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,Tuesday,-982.0
24bb05f1-4751-4a0c-8a3f-861f9294b834,Wednesday,-981.0
38a64f25-3221-4661-944e-86bf6584438d,Friday,-976.0
38a64f25-3221-4661-944e-86bf6584438d,Monday,-994.0
38a64f25-3221-4661-944e-86bf6584438d,Saturday,-994.0
38a64f25-3221-4661-944e-86bf6584438d,Sunday,-925.0
38a64f25-3221-4661-944e-86bf6584438d,Thursday,-951.0
38a64f25-3221-4661-944e-86bf6584438d,Tuesday,-980.0
38a64f25-3221-4661-944e-86bf6584438d,Wednesday,-999.0
a2c0a886-d116-495a-9a17-f1dd1a423190,Friday,-989.0
a2c0a886-d116-495a-9a17-f1dd1a423190,Monday,-901.0
a2c0a886-d116-495a-9a17-f1dd1a423190,Saturday,-975.0
a2c0a886-d116-495a-9a17-f1dd1a423190,Sunday,-998.0
a2c0a886-d116-495a-9a17-f1dd1a423190,Thursday,-983.0
a2c0a886-d116-495a-9a17-f1dd1a423190,Tuesday,-987.0
a2c0a886-d116-495a-9a17-f1dd1a423190,Wednesday,-993.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,Friday,-993.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,Monday,-973.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,Saturday,-997.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,Sunday,-1000.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,Thursday,-997.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,Tuesday,-999.0
b16dc7f4-381b-4b7d-8917-dc9f28f80034,Wednesday,-992.0
b8327f38-160d-4004-8f74-be8da19aaa15,Friday,-988.0
b8327f38-160d-4004-8f74-be8da19aaa15,Monday,-956.0
b8327f38-160d-4004-8f74-be8da19aaa15,Saturday,-999.0
b8327f38-160d-4004-8f74-be8da19aaa15,Sunday,-956.0
b8327f38-160d-4004-8f74-be8da19aaa15,Thursday,-998.0
b8327f38-160d-4004-8f74-be8da19aaa15,Tuesday,-997.0
b8327f38-160d-4004-8f74-be8da19aaa15,Wednesday,-997.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,Friday,-966.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,Monday,-964.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,Saturday,-1000.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,Sunday,-984.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,Thursday,-984.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,Tuesday,-960.0
c26ca746-9ab4-493d-ad7f-5f952ebe569a,Wednesday,-996.0
d481f7dd-8923-44d5-bc2e-e518435389d2,Friday,-998.0
d481f7dd-8923-44d5-bc2e-e518435389d2,Monday,-994.0
d481f7dd-8923-44d5-bc2e-e518435389d2,Saturday,-981.0
d481f7dd-8923-44d5-bc2e-e518435389d2,Sunday,-961.0
d481f7dd-8923-44d5-bc2e-e518435389d2,Thursday,-987.0
d481f7dd-8923-44d5-bc2e-e518435389d2,Tuesday,-998.0
d481f7dd-8923-44d5-bc2e-e518435389d2,Wednesday,-984.0
fcdbe47f-44a7-40fc-9389-0b973a529245,Friday,-994.0
fcdbe47f-44a7-40fc-9389-0b973a529245,Monday,-961.0
fcdbe47f-44a7-40fc-9389-0b973a529245,Saturday,-983.0
fcdbe47f-44a7-40fc-9389-0b973a529245,Sunday,-1000.0
fcdbe47f-44a7-40fc-9389-0b973a529245,Thursday,-988.0
fcdbe47f-44a7-40fc-9389-0b973a529245,Tuesday,-1000.0
fcdbe47f-44a7-40fc-9389-0b973a529245,Wednesday,-971.0
